Country,Population,GDP (USD),GDP per capita (USD)
Australia,25890773,1334688000000,51558
Papua New Guinea,9119010,24210000000,2655
New Zealand,5124100,241164000000,47048
Fiji,926276,5601000000,6046
Solomon Islands,721455,1634000000,2265
Vanuatu,319505,957000000,2996
Samoa,202506,870000000,4297
Kiribati,123419,228000000,1846
Tonga,106760,502000000,4704
Micronesia,115021,418000000,3634
Palau,18174,237000000,13041
Marshall Islands,42050,268000000,6373
Nauru,10834,132000000,12182
Tuvalu,11792,63000000,5345
